date,code,open,high,low,close,volume,amount,adjustflag
2015-04-28,sz.000001,12.7385839000,13.4587591600,12.5604760400,12.9321794000,476354400,8014319360.0000,2
2015-04-29,sz.000001,12.9012041200,12.9708985000,12.5449884000,12.8934603000,215118839,3550493344.0000,2
2015-04-30,sz.000001,13.0328490600,13.3658333200,12.9166917600,12.9321794000,289063536,4899379968.0000,2
2015-05-04,sz.000001,12.9321794000,12.9321794000,12.6069389600,12.7927906400,142757511,2351547456.0000,2
2015-05-05,sz.000001,12.7076086200,12.7927906400,12.0029210000,12.2816985200,229934173,3685372400.0000,2
2015-05-06,sz.000001,12.2507232400,12.6224266000,11.9951771800,12.1732850400,194991108,3107565648.0000,2
2015-05-07,sz.000001,12.1732850400,12.2971861600,12.0029210000,12.1345659400,125870751,1968941840.0000,2
2015-05-08,sz.000001,12.1655412200,12.3746243600,12.0029210000,12.2739547000,137446840,2163108912.0000,2
2015-05-11,sz.000001,12.2352356000,12.4830378400,11.9951771800,12.4133434600,212307724,3349066832.0000,2
2015-05-12,sz.000001,12.3746243600,12.5295007600,12.1190783000,12.3591367200,198965559,3166864480.0000,2
2015-05-13,sz.000001,12.5295007600,12.5837075000,12.1887726800,12.2971861600,175656158,2807445568.0000,2
2015-05-14,sz.000001,12.3901120000,12.4288311000,12.1500535800,12.3049299800,143802764,2283604816.0000,2
2015-05-15,sz.000001,12.2352356000,12.2971861600,11.8248131400,11.9642019000,175271651,2718885232.0000,2
2015-05-18,sz.000001,11.7706064000,11.8867637000,11.5924985400,11.7551187600,153708421,2327558368.0000,2
2015-05-19,sz.000001,11.7473749400,12.1887726800,11.6544491000,12.0726153800,191781267,2959557088.0000,2
2015-05-20,sz.000001,12.3978558200,12.5062693000,12.0803592000,12.1887726800,258966691,4115472704.0000,2
2015-05-21,sz.000001,12.2352356000,12.3049299800,12.0958468400,12.2274917800,140584660,2214024928.0000,2
2015-05-22,sz.000001,12.3204176200,12.6224266000,12.2507232400,12.5991951400,262190776,4233675712.0000,2
2015-05-25,sz.000001,12.6611457000,12.9399232200,12.6611457000,12.8547412000,273036944,4518316544.0000,2
2015-05-26,sz.000001,12.8779726600,12.9321794000,12.6069389600,12.8702288400,279220880,4607493632.0000,2
2015-05-27,sz.000001,12.8702288400,13.0947996200,12.6998648000,12.7618153600,234121774,3888992240.0000,2
2015-05-28,sz.000001,12.7773030000,12.7850468200,11.9487142600,12.0029210000,273306112,4404154624.0000,2
2015-05-29,sz.000001,12.0106648200,12.1345659400,11.7009120200,11.8635322400,201493291,3103543664.0000,2
2015-06-01,sz.000001,11.8712760600,12.3746243600,11.7628625800,12.3126738000,215836230,3365459280.0000,2
2015-06-02,sz.000001,12.3049299800,12.3126738000,12.0184086400,12.2120041400,190482203,2991564976.0000,2
2015-06-03,sz.000001,12.2120041400,12.3513929000,12.0029210000,12.2584670600,197523179,3103860656.0000,2
2015-06-04,sz.000001,12.2739547000,12.8392535600,12.1268221200,12.6766333400,368253280,5971846144.0000,2
2015-06-05,sz.000001,12.9321794000,13.0096176000,12.4133434600,12.6224266000,285545632,4681142528.0000,2
2015-06-08,sz.000001,12.6379142400,13.5129659000,12.5372445800,13.3890647800,508605024,8596942080.0000,2
2015-06-09,sz.000001,13.4432715200,13.5129659000,12.9166917600,13.1490063600,328696752,5601775872.0000,2
2015-06-10,sz.000001,13.0096176000,13.1102872600,12.8005344600,12.9166917600,219838655,3679460608.0000,2
2015-06-11,sz.000001,12.9166917600,12.9863861400,12.6611457000,12.7618153600,170696045,2811189680.0000,2
2015-06-12,sz.000001,12.7618153600,12.8779726600,12.6301704200,12.7850468200,190338879,3131996560.0000,2
2015-06-15,sz.000001,12.8005344600,12.8547412000,12.3126738000,12.3281614400,219217661,3547149536.0000,2
2015-06-16,sz.000001,12.2352356000,12.4365749200,12.0029210000,12.1113344800,181217984,2858213728.0000,2
2015-06-17,sz.000001,12.2584670600,12.3049299800,11.9642019000,12.1810288600,171594225,2689990224.0000,2
2015-06-18,sz.000001,12.1423097600,12.1423097600,11.6234738200,11.9099951600,160255482,2468466176.0000,2
2015-06-19,sz.000001,11.8093255000,11.9177389800,11.2285390000,11.3292086600,156552048,2345768672.0000,2
2015-06-23,sz.000001,11.3369524800,11.5924985400,10.9265300200,11.5770109000,180548812,2643179920.0000,2
2015-06-24,sz.000001,11.6157300000,11.7163996600,11.3834154000,11.7086558400,153199612,2290363600.0000,2
2015-06-25,sz.000001,12.0648715600,12.1035906600,11.4298783200,11.5150603400,207916488,3179774400.0000,2
2015-06-26,sz.000001,11.3369524800,11.5770109000,10.3612311600,10.6632401400,255532175,3623880480.0000,2
2015-06-29,sz.000001,10.9032985600,10.9575053000,9.8733705000,10.5006199200,261294320,3570319312.0000,2
2015-06-30,sz.000001,10.4851322800,11.2595142800,10.3612311600,11.2595142800,254810313,3572978448.0000,2
2015-07-01,sz.000001,11.1123817000,11.2982333800,10.6400086800,10.7793974400,183540616,2629096352.0000,2
2015-07-02,sz.000001,10.7639098000,11.0814064200,10.3612311600,10.6477525000,198282626,2762337232.0000,2
2015-07-03,sz.000001,10.8258603600,10.8336041800,9.9043457800,10.1211727400,259745820,3473335632.0000,2
2015-07-06,sz.000001,11.0736626000,11.0814064200,10.2915367800,10.7484221600,338152672,4660186368.0000,2
2015-07-07,sz.000001,10.5780581200,11.3446963000,10.2295862200,11.3446963000,480831184,6808003840.0000,2
